persona_id,avg_distance,std_distance,n_models,new_id
15,3.8561742963077044,1.3322590092298314,15,0
52,4.074625056129344,1.2937061870964848,15,1
11,4.087979450381698,1.4113408062359467,15,2
32,4.110610411888957,0.9036920550501816,15,3
31,4.111317318404569,1.204042257528481,15,4
23,4.233061067698274,1.2952636233892758,15,5
64,4.437585547794855,1.512743902177042,15,6
43,4.444461631664657,1.3071619221458093,15,7
46,4.493689730329959,1.2870589150935734,15,8
63,4.5642536792139525,1.1181561760559333,15,9
59,4.604639130856489,1.4952180232513148,15,10
69,4.6205827359477105,1.4924387449485286,15,11
79,4.643723991233018,1.3349000069214207,15,12
90,4.678678903675954,1.6196586140261269,13,13
68,4.69897271549958,1.2613720218436073,15,14
91,4.779652566748814,1.2965288856231294,15,15
10,4.825123851366996,1.26385739714743,15,16
48,4.8253322916762675,1.2207294108615614,15,17
78,4.843735585079175,1.3197235567552295,15,18
96,4.850685863683989,1.446243898069477,15,19
33,4.856012726793883,1.4289633094919256,15,20
70,4.864316636977588,1.307296961245547,15,21
6,4.889023244290133,1.2045086654453654,15,22
80,4.889579055904038,1.256987607649126,15,23
28,4.895855651819081,1.1801622633067848,15,24
71,4.907460726205813,1.502199299865098,15,25
77,4.913680560171189,1.6010298089697572,15,26
7,4.923552440530868,1.5207956207228714,15,27
21,4.9594008782458605,1.5623961435841516,15,28
85,4.999215186343856,2.0141945006349764,15,29
95,5.015707495075892,1.5575497654415993,14,30
49,5.025825614322657,1.1855123490431796,15,31
98,5.031863361996455,1.496072634623402,15,32
38,5.0809747132567225,1.2644998855755045,15,33
2,5.094164964517745,1.4546047502966684,15,34
36,5.146337099545661,1.4274907272052895,15,35
29,5.232292951652818,1.8208946776701933,14,36
54,5.244019503474756,1.4021384613624412,15,37
18,5.273696142117275,1.3815605826450759,15,38
39,5.282552827700593,1.6080052935744205,15,39
40,5.355359330795897,1.267784810797945,15,40
62,5.359675929875462,1.5371148507304195,15,41
99,5.361211309830932,1.731456846748125,15,42
30,5.371350992342079,1.1432668653589133,15,43
55,5.393660163171532,1.3868373749353673,15,44
22,5.41110081490019,1.3992298791222213,15,45
0,5.477511200159452,1.2945784140548922,15,46
73,5.493268160517507,1.3250356801036653,15,47
65,5.59067802597626,1.2078548915918472,15,48
1,5.648034298148711,1.71517655284557,15,49
16,5.6777932755729354,2.0021408684184845,15,50
17,5.706668225017698,1.5581368577246388,15,51
37,5.807614268432121,1.98519965956206,15,52
66,5.808229746320927,1.4652403071873619,15,53
3,5.815196515995561,1.7111471132650915,15,54
89,5.8174514752613335,1.5123037061454094,15,55
41,5.835023959656295,1.6704881847094564,15,56
97,5.847816065201882,1.8265054263245368,15,57
26,5.89878967853275,1.498670957084798,15,58
9,5.914826020256423,1.758296603685826,15,59
61,6.013690399344191,2.0180067377866515,15,60
34,6.0169334594538375,1.0329457241851419,15,61
92,6.078338980666901,2.0074313463012317,15,62
94,6.1229871649661165,2.4778363641477763,15,63
58,6.179848321178226,1.3427615709121867,15,64
42,6.182402533389428,2.182962468179924,14,65
13,6.221281121246279,1.54838436895572,15,66
12,6.234339684005025,1.3785378010932414,15,67
57,6.254790068720805,1.988251528056641,15,68
27,6.3502152414233795,1.0607105372583718,15,69
67,6.364377833980182,2.1444350204178995,15,70
35,6.488323247578486,1.9055355738327335,15,71
51,6.4946069589898086,1.697761564200072,14,72
93,6.5040277173125025,1.8377849980432734,15,73
83,6.5651343107739555,1.8741697632833647,15,74
4,6.620283504578471,1.8544867365602982,15,75
82,6.712462789358709,2.0455989259543874,15,76
44,6.840015300516771,1.4215016340192033,14,77
84,6.8433828349845784,2.246293305609687,15,78
56,6.867592931603637,1.867819773479544,15,79
53,7.002504596837724,1.8445661620980167,15,80
8,7.085821525650512,1.6676972918072621,15,81
24,7.086493082857701,1.82979774056255,15,82
14,7.34386739178089,1.6007626749026365,15,83
19,7.42348025509863,2.1763191981681165,15,84
5,7.554141454081301,2.4362471633928613,15,85
74,7.629643578856162,2.248143406938966,15,86
60,7.767603005289656,1.910967467825557,15,87
72,7.7726177116467285,2.3044399479038855,15,88
86,7.7868180307121895,2.665975206071699,14,89
88,7.810729766750179,2.28922175893344,15,90
50,8.10724733906382,2.5286657795965874,15,91
81,8.313817453989843,1.9778521923325896,15,92
20,8.744054669888163,1.8883594344242174,15,93
87,8.80151595070261,2.2457858081131366,15,94
75,9.429517258114112,2.029567212391573,14,95
47,9.455371371178849,2.029589745602563,15,96
45,9.784443946073967,2.819192513469661,15,97
76,9.859555025851398,2.1201014191227245,15,98
25,10.84221378262137,2.7379085393655154,15,99
