model,family,persona_id,distance_from_self
claude-sonnet-4-5,Claude,16,4.1436698710201325
claude-sonnet-4-5,Claude,17,5.3637673327615545
claude-sonnet-4-5,Claude,18,5.671860364994893
claude-sonnet-4-5,Claude,19,7.8339006886735545
claude-sonnet-4-5,Claude,20,7.958014827832378
claude-sonnet-4-5,Claude,21,4.1436698710201325
claude-sonnet-4-5,Claude,22,5.56506963119061
claude-sonnet-4-5,Claude,23,3.7643060449437424
claude-sonnet-4-5,Claude,24,7.270488291717414
claude-sonnet-4-5,Claude,25,9.704122835166505
claude-sonnet-4-5,Claude,26,5.1351728305871065
claude-sonnet-4-5,Claude,27,6.178996682310163
claude-sonnet-4-5,Claude,28,5.947268280479703
claude-sonnet-4-5,Claude,29,3.8948684188300895
claude-sonnet-4-5,Claude,30,4.665833258915282
claude-sonnet-4-5,Claude,31,4.291852746774987
claude-sonnet-4-5,Claude,32,3.4899856733230297
claude-sonnet-4-5,Claude,33,4.531004303683677
claude-sonnet-4-5,Claude,34,5.474486277268397
claude-sonnet-4-5,Claude,35,5.910160742314882
claude-sonnet-4-5,Claude,36,4.7717921161760595
claude-sonnet-4-5,Claude,37,6.853466276272176
claude-sonnet-4-5,Claude,38,5.194227565288221
claude-sonnet-4-5,Claude,39,4.1436698710201325
claude-sonnet-4-5,Claude,40,4.802082881417188
claude-sonnet-4-5,Claude,41,5.511805511808268
claude-sonnet-4-5,Claude,42,4.257933771208753
claude-sonnet-4-5,Claude,43,3.629049462324811
claude-sonnet-4-5,Claude,44,6.0307545133258404
claude-sonnet-4-5,Claude,45,11.286274850454422
claude-sonnet-4-5,Claude,46,4.332435804486894
claude-sonnet-4-5,Claude,47,9.601041610158765
claude-sonnet-4-5,Claude,48,4.332435804486894
claude-sonnet-4-5,Claude,49,3.8948684188300895
claude-sonnet-4-5,Claude,50,7.519973404208288
claude-sonnet-4-5,Claude,51,5.441507144165116
claude-sonnet-4-5,Claude,52,3.6304269721342695
claude-sonnet-4-5,Claude,53,5.293392107146419
claude-sonnet-4-5,Claude,54,4.263801121065568
claude-sonnet-4-5,Claude,55,4.7717921161760595
claude-sonnet-4-5,Claude,56,6.597726881282673
claude-sonnet-4-5,Claude,57,5.671860364994893
claude-sonnet-4-5,Claude,58,4.730750469005948
claude-sonnet-4-5,Claude,59,3.792097045171708
claude-sonnet-4-5,Claude,60,6.796322535018478
claude-sonnet-4-5,Claude,61,4.050925820105819
claude-sonnet-4-5,Claude,62,4.378355855797928
claude-sonnet-4-5,Claude,63,4.507771067833858
claude-sonnet-4-5,Claude,64,3.4597687784012385
claude-sonnet-4-5,Claude,65,5.213444159094831
claude-sonnet-4-5,Claude,66,3.972404813208241
claude-sonnet-4-5,Claude,67,3.7107950630558943
claude-sonnet-4-5,Claude,68,4.665833258915282
claude-sonnet-4-5,Claude,69,4.04103947023535
claude-sonnet-4-5,Claude,70,4.6872166581031856
claude-sonnet-4-5,Claude,71,3.8948684188300895
claude-sonnet-4-5,Claude,72,9.055937278934744
claude-sonnet-4-5,Claude,73,5.30754180388624
claude-sonnet-4-5,Claude,74,8.072793816269558
claude-sonnet-4-5,Claude,75,9.447751055145346
claude-sonnet-4-5,Claude,76,9.537819457297354
claude-sonnet-4-5,Claude,77,4.6701177715342475
claude-sonnet-4-5,Claude,78,3.6027767069303644
claude-sonnet-4-5,Claude,79,4.378355855797927
claude-sonnet-4-5,Claude,80,4.585847795119241
claude-sonnet-4-5,Claude,81,7.900632886041472
claude-sonnet-4-5,Claude,82,6.2425956140054435
claude-sonnet-4-5,Claude,83,5.913543776789007
claude-sonnet-4-5,Claude,84,6.178187436457395
claude-sonnet-4-5,Claude,85,4.291852746774987
claude-sonnet-4-5,Claude,86,5.40092584655631
claude-sonnet-4-5,Claude,87,10.412012293500233
claude-sonnet-4-5,Claude,88,7.427651041883968
claude-sonnet-4-5,Claude,89,4.70425339453563
claude-sonnet-4-5,Claude,90,3.971145930332956
claude-sonnet-4-5,Claude,91,4.226109321823087
claude-sonnet-4-5,Claude,92,4.984977432245807
claude-sonnet-4-5,Claude,93,7.291776189653657
